,0
0,dead
1,power
2,pilgr
3,kenyan
4,ranking
5,embassy
6,orders
7,costs
8,currency
9,court
10,wind
11,bailout
12,missile
13,value
14,iran
15,saudi
16,refs
17,tumble
18,canadian
19,strikes
20,assaults
21,food
22,weapons
23,punched
24,deports
25,bank
26,twitter
27,minister
28,price
29,cartoon
30,dropped
31,debt
32,falls
33,deutsche
34,fears
35,worl
36,asteroid
37,fined
38,muslim
39,crude
40,down
41,stock
42,bailouts
43,rising
44,rise
45,uses
46,ftse
47,dollar
48,ebola
49,legalize
50,deal
51,greek
52,democracy
53,security
54,street
55,resigns
56,south
57,military
58,politwoops
59,near
60,crash
61,shanghai
62,putin
63,drug
64,miss
65,judges
66,outbreak
67,unconstitutional
68,crisis
69,iraq
70,parts
71,afghan
72,nuclear
73,conflict
74,china
75,test
76,yemen
77,wall
78,sell
79,western
80,drop
81,syria
82,isis
83,africa
84,chinese
85,opens
86,mexico
87,insurance
88,sexual
89,hoarding
90,decreasing
91,sailors
92,reports
93,israel
94,superpower
95,attack
96,market
97,campaign
98,women
99,islamic
100,plunge
101,facebook
102,seize
103,fall
104,oceans
105,kills
106,obama
107,saudis
108,diplomat
109,bans
110,chapo
111,running
112,gates
113,invest
114,destroys
115,sale
116,bill
117,icelandic
118,arrest
119,kill
120,lego
121,case
